assemblyaccession,organism,assembly_size,superkingdom,kingdom,phylum,class,order,family,genus
GCF_000002315.3,Gallus gallus (chicken),1046932099,,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus
GCF_000146605.1,Meleagris gallopavo (turkey),1061817103,,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Meleagris
GCF_000002315.5,Gallus gallus (chicken),1065365425,,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus
GCF_000002315.1,Gallus gallus (chicken),1098754166,,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus
GCF_000002315.2,Gallus gallus (chicken),1098770941,,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus
GCF_000247815.1,Ficedula albicollis (Collared flycatcher),1118343587,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula
GCF_000146605.2,Meleagris gallopavo (turkey),1128339136,,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Meleagris
GCF_000002315.4,Gallus gallus (chicken),1230258557,,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus
GCF_000151805.1,Taeniopygia guttata (zebra finch),1232135591,,Metazoa,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia
GCF_001465895.1,Nothobranchius furzeri (turquoise killifish),1242518059,,Metazoa,Chordata,Actinopteri,Cyprinodontiformes,Nothobranchiidae,Nothobranchius
GCF_002204515.2,Aedes aegypti (yellow fever mosquito),1278732104,,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes
GCF_000372685.2,Astyanax mexicanus (Mexican tetra),1335239194,,Metazoa,Chordata,Actinopteri,Characiformes,Acestrorhamphidae,Astyanax
GCF_000002035.5,Danio rerio (zebrafish),1371719383,,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
GCF_000002035.4,Danio rerio (zebrafish),1412464843,,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
GCF_000004195.3,Xenopus tropicalis (tropical clawed frog),1440398454,,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
GCF_000002035.1,Danio rerio (zebrafish),1440565712,,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
GCF_000002035.2,Danio rerio (zebrafish),1480754634,,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
GCF_000002035.3,Danio rerio (zebrafish),1480771230,,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
GCF_002910315.1,Salvelinus alpinus (Arctic char),1516050015,,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus
GCF_000002035.6,Danio rerio (zebrafish),1679203469,,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio
GCF_000951615.1,Cyprinus carpio (common carp),1713658011,,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus
GCF_000090745.1,Anolis carolinensis (green anole),1799143587,,Metazoa,Chordata,Lepidosauria,Squamata,Dactyloidae,Anolis
GCF_003368295.1,Carassius auratus (goldfish),1820635050,,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Carassius
GCF_000002275.1,Ornithorhynchus anatinus (platypus),1995590303,,Metazoa,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus
GCF_000002275.2,Ornithorhynchus anatinus (platypus),1995607322,,Metazoa,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus
GCF_002910315.2,Salvelinus sp. IW2-2015 (bony fishes),2169553147,,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salvelinus
GCF_002163495.1,Oncorhynchus mykiss (rainbow trout),2178999613,,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus
GCF_000003025.3,Sus scrofa (pig),2262484801,,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
GCF_000317375.1,Microtus ochrogaster (prairie vole),2287340943,,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Microtus
GCF_000241765.3,Chrysemys picta bellii (western painted turtle),2365766571,,Metazoa,Chordata,,Testudines,Emydidae,Chrysemys
GCF_002021735.1,Oncorhynchus kisutch (coho salmon),2369932239,,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus
GCF_000002285.3,Canis lupus familiaris (dog),2410976875,,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis
GCF_002872995.1,Oncorhynchus tshawytscha (Chinook salmon),2425713975,,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus
GCF_000181335.1,Felis catus (domestic cat),2455541136,,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis
GCF_000002305.1,Equus caballus (horse),2474912402,,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus
GCF_000002305.2,Equus caballus (horse),2474929062,,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus
GCF_900095145.1,Mus pahari (shrew mouse),2475012951,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000165445.2,Microcebus murinus (gray mouse lemur),2487409138,,Metazoa,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus
GCF_000003025.6,Sus scrofa (pig),2501912388,,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
GCF_002863925.1,Equus caballus (horse),2506966135,,Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus
GCF_000181335.3,Felis catus (domestic cat),2521863845,,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis
GCF_000002285.1,Canis lupus familiaris (dog),2528430226,,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis
GCF_000002285.2,Canis lupus familiaris (dog),2528446953,,Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis
GCF_900094665.1,Mus caroli (Ryukyu mouse),2553128900,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000298735.2,Ovis aries (sheep),2615516299,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis
GCF_000002265.2,Rattus norvegicus (Norway rat),2616422528,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus
GCF_000002265.1,Rattus norvegicus (Norway rat),2616427969,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus
GCF_000298735.1,Ovis aries (sheep),2619054388,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis
GCF_000317765.1,Capra hircus (goat),2635848900,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra
GCF_000181335.2,Felis catus (domestic cat),2641342258,,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis
GCF_003121395.1,Bubalus bubalis (water buffalo),2655780776,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus
GCF_000003055.5,Bos taurus (domestic cattle),2670044500,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000003055.6,Bos taurus (domestic cattle),2670139648,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000003055.3,Bos taurus (domestic cattle),2670405961,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000003055.4,Bos taurus (domestic cattle),2670422299,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000247795.1,Bos indicus (zebu cattle),2673965444,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000001635.12,Mus musculus (house mouse),2684542854,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_002263795.1,Bos taurus (domestic cattle),2715853792,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000001635.15,Mus musculus (house mouse),2716519436,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_001663975.1,Xenopus laevis (African clawed frog),2718433805,,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus
GCF_000003205.7,Bos taurus (domestic cattle),2724980740,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000003625.2,Oryctolagus cuniculus (rabbit),2737445565,,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus
GCF_000003625.3,Oryctolagus cuniculus (rabbit),2737462810,,Metazoa,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus
GCF_000001635.14,Mus musculus (house mouse),2742841115,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000001635.18,Mus musculus (house mouse),2745142291,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000001635.13,Mus musculus (house mouse),2758518671,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000003025.4,Sus scrofa (pig),2772757746,,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
GCF_000001635.16,Mus musculus (house mouse),2774062660,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000002165.2,Mus musculus (house mouse),2775061614,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000002165.1,Mus musculus (house mouse),2775131889,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000409795.2,Chlorocebus sabaeus (green monkey),2789656328,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus
GCF_000001635.20,Mus musculus (house mouse),2793712140,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000001635.21,Mus musculus (house mouse),2796638596,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000001635.22,Mus musculus (house mouse),2798785524,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000001635.23,Mus musculus (house mouse),2800055571,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000001635.24,Mus musculus (house mouse),2803568840,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000001635.25,Mus musculus (house mouse),2807715301,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000003025.5,Sus scrofa (pig),2808525991,,Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus
GCF_000001635.26,Mus musculus (house mouse),2818974548,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus
GCF_000001895.1,Rattus norvegicus (Norway rat),2826207993,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus
GCF_000001895.3,Rattus norvegicus (Norway rat),2826224306,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus
GCF_000002125.1,Homo sapiens (human),2844000504,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000002115.2,Homo sapiens (human),2868252547,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_002742125.1,Ovis aries (sheep),2869914396,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis
GCF_000001895.5,Rattus norvegicus (Norway rat),2870184193,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus
GCF_003255815.1,Theropithecus gelada (gelada),2889630685,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Theropithecus
GCF_000003205.1,Bos taurus (domestic cattle),2902884696,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000001895.4,Rattus norvegicus (Norway rat),2909698938,,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus
GCF_000004665.1,Callithrix jacchus (white-tufted-ear marmoset),2914958544,,Metazoa,Chordata,Mammalia,Primates,Cebidae,Callithrix
GCF_000003205.2,Bos taurus (domestic cattle),2917945987,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000003205.3,Bos taurus (domestic cattle),2918074460,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000003205.4,Bos taurus (domestic cattle),2918090798,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_001704415.1,Capra hircus (goat),2922813246,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra
GCF_000364345.1,Macaca fascicularis (crab-eating macaque),2946843737,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca
GCF_000264685.1,Papio anubis (olive baboon),2948380710,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Papio
GCF_000264685.2,Papio anubis (olive baboon),2948397226,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Papio
GCF_000264685.3,Papio anubis (olive baboon),2959373024,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Papio
GCF_000146795.2,Nomascus leucogenys (northern white-cheeked gibbon),2962060179,,Metazoa,Chordata,Mammalia,Primates,Hylobatidae,Nomascus
GCF_000233375.1,Salmo salar (Atlantic salmon),2966890203,,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo
GCF_000306695.1,Homo sapiens (human),2971984367,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000003205.5,Bos taurus (domestic cattle),2983314115,,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
GCF_000151905.1,Gorilla gorilla gorilla (western lowland gorilla),3035660144,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Gorilla
GCF_000306695.2,Homo sapiens (human),3037866619,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000002115.1,Homo sapiens (human),3040721211,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_002880755.1,Pan troglodytes (chimpanzee),3050398082,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
GCF_000151905.2,Gorilla gorilla gorilla (western lowland gorilla),3063362794,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Gorilla
GCF_002880775.1,Pongo abelii (Sumatran orangutan),3065052215,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo
GCF_000001405.11,Homo sapiens (human),3091649889,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.10,Homo sapiens (human),3091959510,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.9,Homo sapiens (human),3091959510,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000002255.2,Macaca mulatta (Rhesus monkey),3097370727,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca
GCF_000002255.3,Macaca mulatta (Rhesus monkey),3097387291,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca
GCF_000002255.1,Macaca mulatta (Rhesus monkey),3097553967,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca
GCF_000001405.12,Homo sapiens (human),3104054490,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.8,Homo sapiens (human),3104781186,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.13,Homo sapiens (human),3137144693,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.14,Homo sapiens (human),3151497827,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.17,Homo sapiens (human),3167944743,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.21,Homo sapiens (human),3195751584,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.26,Homo sapiens (human),3209286105,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.27,Homo sapiens (human),3212670709,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.28,Homo sapiens (human),3221487035,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.22,Homo sapiens (human),3224463819,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.29,Homo sapiens (human),3226010022,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.23,Homo sapiens (human),3228143073,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.30,Homo sapiens (human),3228894042,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.24,Homo sapiens (human),3230373980,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.31,Homo sapiens (human),3230538373,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001515.7,Pan troglodytes (chimpanzee),3231170666,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
GCF_000001405.32,Homo sapiens (human),3231297122,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.33,Homo sapiens (human),3232546710,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.25,Homo sapiens (human),3234834689,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000772875.2,Macaca mulatta (Rhesus monkey),3236224332,,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca
GCF_000001405.34,Homo sapiens (human),3236336281,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.35,Homo sapiens (human),3238442024,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.36,Homo sapiens (human),3241953429,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.37,Homo sapiens (human),3253848404,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000001405.38,Homo sapiens (human),3257319537,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo
GCF_000258655.2,Pan paniscus (pygmy chimpanzee),3286643896,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
GCF_000001515.6,Pan troglodytes (chimpanzee),3309577922,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
GCF_000001515.5,Pan troglodytes (chimpanzee),3323267922,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
GCF_000001515.1,Pan troglodytes (chimpanzee),3349631985,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
GCF_000001515.3,Pan troglodytes (chimpanzee),3349648539,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pan
GCF_000001545.3,Pongo abelii (Sumatran orangutan),3441227734,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo
GCF_000001545.2,Pongo abelii (Sumatran orangutan),3441240245,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo
GCF_000001545.4,Pongo abelii (Sumatran orangutan),3441244233,,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo
GCF_000002295.1,Monodelphis domestica (gray short-tailed opossum),3598425998,,Metazoa,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis
GCF_000002295.2,Monodelphis domestica (gray short-tailed opossum),3598443077,,Metazoa,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis
